country,sex,year,not_classified_000
vgb,f,1991,0.019999999552965164
bgr,mf,2000,15.076000213623047
bgr,m,2000,8.598999977111816
bgr,f,2000,6.47599983215332
bgr,mf,2001,17.027000427246094
bgr,m,2001,7.739999771118164
bgr,f,2001,9.286999702453613
bgr,mf,2002,13.435999870300293
bgr,m,2002,8.73799991607666
bgr,f,2002,4.697999954223633
bgr,mf,2003,10.373000144958496
bgr,m,2003,6.703000068664551
bgr,f,2003,3.6710000038146973
bgr,mf,2004,9.411999702453613
bgr,m,2004,6.010000228881836
bgr,f,2004,3.4010000228881836
bgr,mf,2005,6.84499979019165
bgr,m,2005,4.572999954223633
bgr,f,2005,2.2720000743865967
bfa,mf,1985,12.590999603271484
bfa,m,1985,11.291000366210938
bfa,f,1985,1.2999999523162842
bfa,mf,1994,39.46900177001953
bfa,m,1994,32.801998138427734
bfa,f,1994,6.666999816894531
bfa,mf,2006,133.0019989013672
bfa,m,2006,72.43199920654297
bfa,f,2006,60.56999969482422
bdi,mf,1998,7.0289998054504395
bdi,m,1998,5.984000205993652
bdi,f,1998,1.0449999570846558
bdi,mf,2004,4.699999809265137
bdi,mf,2005,33.16699981689453
bdi,mf,2006,34.29399871826172
bdi,mf,2007,35.18899917602539
bdi,mf,2008,124.72200012207031
bdi,m,2008,59.33599853515625
bdi,f,2008,65.38600158691406
bdi,mf,2009,67.19200134277344
bdi,mf,2010,4.236999988555908
khm,mf,2000,6.23199987411499
khm,m,2000,5.122000217437744
khm,f,2000,1.1089999675750732
khm,mf,2001,6.645999908447266
khm,m,2001,3.628000020980835
khm,f,2001,3.0179998874664307
khm,mf,2004,10.913000106811523
khm,mf,2008,3.3420000076293945
khm,m,2008,2.247999906539917
khm,f,2008,1.093999981880188
cmr,mf,1996,95.80000305175781
cmr,m,1996,67.19999694824219
cmr,f,1996,28.600000381469727
cmr,mf,2001,193.60000610351562
cmr,m,2001,124.0
cmr,f,2001,70.0
cmr,mf,2010,250.10800170898438
cmr,m,2010,122.7509994506836
cmr,f,2010,127.35700225830078
cpv,mf,2000,26.965999603271484
cpv,m,2000,13.12600040435791
cpv,f,2000,13.84000015258789
cym,mf,2007,0.1809999942779541
cym,m,2007,0.10000000149011612
cym,f,2007,0.08100000023841858
cym,mf,2008,0.25099998712539673
cym,m,2008,0.14100000262260437
cym,f,2008,0.10999999940395355
cym,mf,2011,0.20900000631809235
