country,sex,year,total_self_employed_workers_a_b_c_d
aut,m,2014,15.800000190734863
aut,f,2014,10.5
aze,mf,2003,67.30000305175781
aze,m,2003,65.69999694824219
aze,f,2003,69.0
aze,mf,2004,66.80000305175781
aze,m,2004,66.80000305175781
aze,f,2004,66.80000305175781
aze,mf,2005,66.19999694824219
aze,m,2005,66.19999694824219
aze,f,2005,66.19999694824219
aze,mf,2006,59.0
aze,m,2006,52.599998474121094
aze,f,2006,66.19999694824219
aze,mf,2007,58.20000076293945
aze,m,2007,49.29999923706055
aze,f,2007,67.30000305175781
aze,mf,2008,57.599998474121094
aze,m,2008,52.29999923706055
aze,f,2008,63.0
aze,mf,2009,67.5999984741211
aze,m,2009,64.19999694824219
aze,f,2009,71.0999984741211
aze,mf,2010,68.0999984741211
aze,m,2010,64.69999694824219
aze,f,2010,71.5999984741211
aze,mf,2011,66.80000305175781
aze,m,2011,65.30000305175781
aze,f,2011,68.5
aze,mf,2012,66.69999694824219
aze,m,2012,62.599998474121094
aze,f,2012,71.0999984741211
aze,mf,2013,66.5
aze,m,2013,62.5
aze,f,2013,70.80000305175781
bhs,mf,1991,12.300000190734863
bhs,m,1991,14.800000190734863
bhs,f,1991,9.699999809265137
bhs,mf,1992,13.100000381469727
bhs,m,1992,17.299999237060547
bhs,f,1992,8.399999618530273
bhs,mf,1993,13.0
bhs,m,1993,15.899999618530273
bhs,f,1993,9.800000190734863
bhs,mf,1994,14.300000190734863
bhs,m,1994,17.200000762939453
bhs,f,1994,11.100000381469727
bhs,mf,1995,14.300000190734863
bhs,m,1995,16.299999237060547
bhs,f,1995,12.100000381469727
bhs,mf,1996,16.5
bhs,m,1996,19.5
bhs,f,1996,12.899999618530273
bhs,mf,1997,14.899999618530273
bhs,m,1997,18.899999618530273
bhs,f,1997,10.5
bhs,mf,1998,14.800000190734863
bhs,m,1998,18.5
bhs,f,1998,10.800000190734863
bhs,mf,1999,15.899999618530273
bhs,m,1999,20.0
bhs,f,1999,11.100000381469727
bhs,mf,2001,13.899999618530273
bhs,m,2001,18.299999237060547
bhs,f,2001,9.199999809265137
bhs,mf,2002,15.399999618530273
bhs,m,2002,20.0
bhs,f,2002,10.5
bhs,mf,2003,14.300000190734863
bhs,m,2003,17.899999618530273
bhs,f,2003,10.600000381469727
bhs,mf,2004,15.0
bhs,m,2004,17.799999237060547
bhs,f,2004,12.0
bhs,mf,2008,13.399999618530273
bhs,m,2008,17.100000381469727
bhs,f,2008,9.5
bhs,mf,2011,14.199999809265137
bhs,m,2011,19.0
bhs,f,2011,9.399999618530273
bhr,mf,2002,4.199999809265137
bhr,m,2002,4.800000190734863
bhr,f,2002,1.7999999523162842
bhr,mf,2003,4.099999904632568
bhr,m,2003,4.699999809265137
bhr,f,2003,1.7999999523162842
bhr,mf,2004,4.300000190734863
bhr,m,2004,5.199999809265137
bhr,f,2004,1.2000000476837158
bhr,mf,2005,4.0
bhr,m,2005,4.599999904632568
bhr,f,2005,1.7000000476837158
bhr,mf,2006,4.099999904632568
bhr,m,2006,4.699999809265137
bhr,f,2006,1.7000000476837158
bhr,mf,2007,3.9000000953674316
bhr,m,2007,4.400000095367432
bhr,f,2007,1.7000000476837158
bhr,mf,2008,3.799999952316284
bhr,m,2008,4.300000190734863
bhr,f,2008,1.7000000476837158
bhr,mf,2009,3.700000047683716
bhr,m,2009,4.199999809265137
bhr,f,2009,1.7999999523162842
bhr,mf,2010,3.799999952316284
bhr,m,2010,4.300000190734863
bhr,f,2010,1.7000000476837158
bgd,mf,1996,69.69999694824219
bgd,m,1996,60.20000076293945
bgd,f,1996,85.0999984741211
bgd,mf,2000,69.0
bgd,m,2000,59.900001525878906
bgd,f,2000,84.30000305175781
bgd,mf,2003,83.5
bgd,m,2003,83.80000305175781
bgd,f,2003,82.30000305175781
bgd,mf,2005,85.30000305175781
bgd,m,2005,84.80000305175781
bgd,f,2005,86.69999694824219
bgd,mf,2010,62.70000076293945
bgd,m,2010,54.70000076293945
bgd,f,2010,81.5999984741211
bgd,mf,2011,60.400001525878906
bgd,m,2011,63.5
bgd,f,2011,39.70000076293945
brb,mf,1990,12.5
brb,m,1990,15.399999618530273
brb,f,1990,9.300000190734863
brb,mf,1991,12.699999809265137
brb,m,1991,16.0
brb,f,1991,8.600000381469727
brb,mf,1992,13.0
brb,m,1992,16.399999618530273
brb,f,1992,9.399999618530273
brb,mf,1993,14.199999809265137
