country,sex,year,employers_a_000
bra,m,2000,1409.93603515625
bra,f,2000,487.906005859375
bra,mf,2001,3211.0
bra,m,2001,2459.0
bra,f,2001,752.0
bra,mf,2002,3352.0
bra,m,2002,2482.0
bra,f,2002,870.0
bra,mf,2003,3363.0
bra,m,2003,2528.0
bra,f,2003,835.0
bra,mf,2004,3479.0
bra,m,2004,2582.0
bra,f,2004,897.0
bra,mf,2005,3688.0
bra,m,2005,2717.0
bra,f,2005,971.0
bra,mf,2006,3977.0
bra,m,2006,2926.0
bra,f,2006,1051.0
bra,mf,2007,3411.0
bra,m,2007,2508.0
bra,f,2007,904.0
bra,mf,2008,4143.9560546875
bra,m,2008,3003.51806640625
bra,f,2008,1140.43798828125
bra,mf,2009,3991.511962890625
bra,m,2009,2943.071044921875
bra,f,2009,1048.4410400390625
bra,mf,2011,3175.757080078125
bra,m,2011,2278.02392578125
bra,f,2011,897.7329711914062
bra,mf,2012,3564.033935546875
bra,m,2012,2536.347900390625
bra,f,2012,1027.68603515625
bra,mf,2013,3622.73388671875
bra,m,2013,2584.052001953125
bra,f,2013,1038.6820068359375
vgb,mf,1991,0.5070000290870667
vgb,m,1991,0.36000001430511475
vgb,f,1991,0.1469999998807907
brn,mf,1991,1.0180000066757202
brn,m,1991,0.8619999885559082
brn,f,1991,0.15600000321865082
bgr,mf,2000,67.53700256347656
bgr,m,2000,50.3129997253418
bgr,f,2000,17.224000930786133
bgr,mf,2001,99.61699676513672
bgr,m,2001,75.3479995727539
bgr,f,2001,24.268999099731445
bgr,mf,2002,94.1050033569336
bgr,m,2002,69.25
bgr,f,2002,24.856000900268555
bgr,mf,2003,103.12799835205078
bgr,m,2003,77.1969985961914
bgr,f,2003,25.930999755859375
bgr,mf,2004,113.22000122070312
bgr,m,2004,82.12200164794922
bgr,f,2004,31.097999572753906
bgr,mf,2005,114.50299835205078
bgr,m,2005,82.78800201416016
bgr,f,2005,31.71500015258789
bgr,mf,2006,122.65299987792969
bgr,m,2006,90.40499877929688
bgr,f,2006,32.24800109863281
bgr,mf,2007,131.76300048828125
bgr,m,2007,96.08599853515625
bgr,f,2007,35.678001403808594
bgr,mf,2008,122.94400024414062
bgr,m,2008,87.31300354003906
bgr,f,2008,35.63100051879883
bgr,mf,2009,113.4219970703125
bgr,m,2009,81.91799926757812
bgr,f,2009,31.503000259399414
bgr,mf,2010,115.14199829101562
bgr,m,2010,80.85399627685547
bgr,f,2010,34.28799819946289
bgr,mf,2011,107.55899810791016
bgr,m,2011,75.6719970703125
bgr,f,2011,31.88599967956543
bgr,mf,2012,104.54100036621094
bgr,m,2012,73.86299896240234
bgr,f,2012,30.67799949645996
bgr,mf,2013,115.0530014038086
bgr,m,2013,83.56300354003906
bgr,f,2013,31.489999771118164
bgr,mf,2014,113.53800201416016
bgr,m,2014,82.5270004272461
bgr,f,2014,31.01099967956543
bfa,mf,1985,1.4830000400543213
bfa,m,1985,1.222000002861023
bfa,f,1985,0.26100000739097595
bfa,mf,1994,12.946000099182129
bfa,m,1994,12.366999626159668
bfa,f,1994,0.5789999961853027
bfa,mf,2006,41.500999450683594
bfa,m,2006,32.654998779296875
bfa,f,2006,8.845999717712402
bdi,mf,2004,2.4000000953674316
bdi,mf,2005,2.5139999389648438
bdi,mf,2006,2.5999999046325684
bdi,mf,2007,2.6679999828338623
bdi,mf,2008,6.565999984741211
bdi,m,2008,4.265999794006348
bdi,f,2008,2.299999952316284
bdi,mf,2009,6.8979997634887695
bdi,mf,2010,7.063000202178955
khm,mf,2000,8.713000297546387
khm,m,2000,7.802999973297119
khm,f,2000,0.9110000133514404
khm,mf,2001,8.109999656677246
khm,m,2001,5.357999801635742
khm,f,2001,2.752000093460083
khm,mf,2004,14.60099983215332
khm,mf,2008,10.189000129699707
khm,m,2008,5.769999980926514
khm,f,2008,4.419000148773193
cmr,mf,1996,158.10000610351562
cmr,m,1996,122.5999984741211
cmr,f,1996,35.5
cmr,mf,2001,94.0
cmr,m,2001,62.0
cmr,f,2001,32.0
cmr,mf,2010,289.73699951171875
cmr,m,2010,220.09100341796875
cmr,f,2010,69.64700317382812
cpv,mf,2000,3.5789999961853027
cpv,m,2000,2.5199999809265137
cpv,f,2000,1.059000015258789
cym,mf,2007,1.309000015258789
cym,m,2007,0.8700000047683716
cym,f,2007,0.4390000104904175
cym,mf,2008,1.9509999752044678
cym,m,2008,1.4630000591278076
cym,f,2008,0.4880000054836273
cym,mf,2011,1.3630000352859497
cym,m,2011,0.9340000152587891
cym,f,2011,0.42899999022483826
cym,mf,2012,1.5729999542236328
cym,m,2012,1.1699999570846558
cym,f,2012,0.40400001406669617
cym,mf,2013,1.7029999494552612
cym,m,2013,1.2580000162124634
cym,f,2013,0.4449999928474426
tcd,mf,1993,4.375
tcd,m,1993,3.3340001106262207
tcd,f,1993,1.0410000085830688
chl,mf,1990,111.94000244140625
chl,m,1990,92.13999938964844
chl,f,1990,19.799999237060547
chl,mf,1991,174.6999969482422
chl,mf,1992,172.4199981689453
chl,m,1992,138.0
chl,f,1992,34.41999816894531
chl,mf,1993,173.1999969482422
chl,mf,1994,163.4199981689453
chl,m,1994,124.38999938964844
chl,f,1994,39.02000045776367
chl,mf,1995,163.39999389648438
col,mf,1992,196.5
col,m,1992,155.39999389648438
col,f,1992,41.099998474121094
col,mf,1993,199.89999389648438
col,m,1993,156.0
col,f,1993,43.900001525878906
col,mf,1994,259.1000061035156
col,m,1994,196.5
col,f,1994,62.599998474121094
col,mf,1995,230.39999389648438
col,m,1995,174.1999969482422
col,f,1995,56.20000076293945
col,mf,1996,242.10000610351562
col,m,1996,180.1999969482422
col,f,1996,61.79999923706055
col,mf,1997,262.79998779296875
col,m,1997,194.5
col,f,1997,68.30000305175781
col,mf,1998,226.0
col,m,1998,166.0
col,f,1998,60.0
col,mf,1999,246.1999969482422
col,m,1999,174.0
col,f,1999,72.19999694824219
col,mf,2000,689.8319702148438
col,m,2000,536.448974609375
col,f,2000,153.38299560546875
col,mf,2001,790.10400390625
col,m,2001,608.427001953125
col,f,2001,181.677001953125
col,mf,2002,858.2020263671875
col,m,2002,669.0560302734375
col,f,2002,189.14500427246094
col,mf,2003,858.3770141601562
col,m,2003,679.4660034179688
col,f,2003,178.91099548339844
col,mf,2004,933.885009765625
col,m,2004,706.3989868164062
col,f,2004,227.48699951171875
col,mf,2005,948.5830078125
col,m,2005,730.843017578125
col,f,2005,217.74000549316406
col,mf,2006,997.7490234375
col,m,2006,769.7420043945312
col,f,2006,228.0070037841797
col,mf,2007,809.2789916992188
col,m,2007,577.343994140625
col,f,2007,231.93499755859375
col,mf,2008,768.6339721679688
col,m,2008,591.5120239257812
col,f,2008,177.1219940185547
col,mf,2009,946.6690063476562
col,m,2009,731.8590087890625
col,f,2009,214.8090057373047
col,mf,2010,949.1300048828125
col,m,2010,733.8980102539062
col,f,2010,215.23199462890625
col,mf,2011,945.3800048828125
col,m,2011,711.5050048828125
col,f,2011,233.875
col,mf,2012,1001.2880249023438
col,m,2012,751.2509765625
col,f,2012,250.03700256347656
col,mf,2013,956.7169799804688
col,m,2013,706.1669921875
col,f,2013,250.5500030517578
cog,mf,2005,13.121000289916992
cog,m,2005,9.812000274658203
cog,f,2005,3.309000015258789
cok,mf,2006,0.9639999866485596
cok,m,2006,0.6050000190734863
cok,f,2006,0.35899999737739563
cok,mf,2011,0.3919999897480011
cok,m,2011,0.24199999868869781
cok,f,2011,0.15000000596046448
cri,mf,1980,33.459999084472656
cri,mf,1981,26.540000915527344
cri,mf,1982,27.899999618530273
cri,mf,1983,24.739999771118164
cri,mf,1984,23.65999984741211
cri,mf,1985,28.0
cri,mf,1986,28.65999984741211
cri,mf,1987,36.099998474121094
cri,m,1987,32.400001525878906
cri,f,1987,3.700000047683716
cri,mf,1988,46.29999923706055
cri,m,1988,40.20000076293945
cri,f,1988,6.099999904632568
cri,mf,1989,39.79999923706055
cri,m,1989,35.400001525878906
cri,f,1989,4.400000095367432
cri,mf,1990,53.79999923706055
cri,m,1990,48.400001525878906
cri,f,1990,5.300000190734863
cri,mf,1991,49.29999923706055
cri,m,1991,43.0
cri,f,1991,6.300000190734863
cri,mf,1992,50.29999923706055
cri,m,1992,44.900001525878906
cri,f,1992,5.400000095367432
cri,mf,1993,54.0
cri,m,1993,46.599998474121094
cri,f,1993,7.400000095367432
cri,mf,1994,76.19999694824219
cri,m,1994,63.79999923706055
cri,f,1994,12.300000190734863
cri,mf,1995,71.5
cri,m,1995,60.20000076293945
cri,f,1995,11.300000190734863
cri,mf,1996,80.5999984741211
cri,m,1996,65.80000305175781
cri,f,1996,14.800000190734863
cri,mf,1997,90.4000015258789
cri,m,1997,76.9000015258789
cri,f,1997,13.5
cri,mf,1998,102.5999984741211
cri,m,1998,86.0999984741211
cri,f,1998,16.5
cri,mf,1999,105.30000305175781
cri,m,1999,86.5999984741211
cri,f,1999,18.700000762939453
cri,mf,2000,75.30000305175781
cri,m,2000,63.29999923706055
cri,f,2000,11.899999618530273
cri,mf,2001,123.4000015258789
cri,m,2001,96.80000305175781
cri,f,2001,26.600000381469727
cri,mf,2002,125.30000305175781
cri,mf,2003,140.8000030517578
cri,m,2003,112.80000305175781
cri,f,2003,28.100000381469727
cri,mf,2004,134.1999969482422
cri,m,2004,109.5999984741211
cri,f,2004,24.600000381469727
cri,mf,2005,132.5
cri,m,2005,105.9000015258789
cri,f,2005,26.5
cri,mf,2006,140.89999389648438
cri,m,2006,110.0999984741211
cri,f,2006,30.799999237060547
cri,mf,2007,139.1999969482422
cri,m,2007,111.0
