country,sex,year,share_of_vulnerable_employment_in_total_employment_percentage
blz,f,1996,20.899999618530273
blz,mf,2005,23.5
blz,m,2005,24.600000381469727
blz,f,2005,21.5
ben,mf,2003,89.9000015258789
ben,m,2003,83.69999694824219
ben,f,2003,95.80000305175781
ben,mf,2010,87.69999694824219
ben,m,2010,82.0
ben,f,2010,92.9000015258789
bmu,mf,2009,7.5
bmu,m,2009,9.800000190734863
bmu,f,2009,5.300000190734863
bmu,mf,2010,6.199999809265137
bmu,m,2010,8.100000381469727
bmu,f,2010,4.300000190734863
bmu,mf,2012,7.699999809265137
bmu,m,2012,10.300000190734863
bmu,f,2012,5.0
btn,mf,2006,68.0
btn,m,2006,59.400001525878906
btn,f,2006,79.69999694824219
btn,mf,2009,74.19999694824219
btn,m,2009,63.79999923706055
btn,f,2009,85.5
btn,mf,2010,68.80000305175781
btn,m,2010,61.400001525878906
btn,f,2010,76.69999694824219
btn,mf,2011,70.9000015258789
btn,m,2011,59.900001525878906
btn,f,2011,83.0999984741211
btn,mf,2012,53.099998474121094
btn,m,2012,38.0
btn,f,2012,67.5
bol,mf,1989,43.900001525878906
bol,m,1989,36.400001525878906
bol,f,1989,54.0
bol,mf,1990,39.599998474121094
bol,m,1990,32.29999923706055
bol,f,1990,50.099998474121094
bol,mf,1991,39.20000076293945
bol,m,1991,30.600000381469727
bol,f,1991,51.29999923706055
bol,mf,1992,39.0
bol,m,1992,29.899999618530273
bol,f,1992,51.900001525878906
bol,mf,1993,37.5
bol,m,1993,28.0
bol,f,1993,49.900001525878906
bol,mf,1994,38.20000076293945
bol,m,1994,27.0
bol,f,1994,52.599998474121094
bol,mf,1995,40.5
bol,m,1995,29.600000381469727
bol,f,1995,54.599998474121094
bol,mf,1996,42.5
bol,m,1996,31.0
bol,f,1996,56.29999923706055
bol,mf,1997,45.5
bol,m,1997,36.0
bol,f,1997,57.900001525878906
bol,mf,1999,66.0
bol,m,1999,58.099998474121094
bol,f,1999,75.5999984741211
bol,mf,2000,66.0999984741211
bol,m,2000,60.5
bol,f,2000,73.19999694824219
bol,mf,2001,64.9000015258789
bol,m,2001,58.599998474121094
bol,f,2001,72.5
bol,mf,2002,63.70000076293945
bol,m,2002,56.900001525878906
bol,f,2002,72.5999984741211
bol,mf,2003,59.20000076293945
bol,m,2003,48.900001525878906
bol,f,2003,71.5999984741211
bol,mf,2004,59.20000076293945
bol,m,2004,48.900001525878906
bol,f,2004,71.5999984741211
bol,mf,2005,60.0
bol,m,2005,51.400001525878906
bol,f,2005,70.5999984741211
bol,mf,2006,61.0
bol,m,2006,54.400001525878906
bol,f,2006,69.0
bol,mf,2007,57.0
bol,m,2007,49.099998474121094
bol,f,2007,66.80000305175781
bol,mf,2008,57.099998474121094
bol,m,2008,49.400001525878906
bol,f,2008,66.5
bol,mf,2009,54.900001525878906
bol,m,2009,47.29999923706055
bol,f,2009,64.4000015258789
bol,mf,2011,54.29999923706055
bol,m,2011,46.599998474121094
bol,f,2011,64.0999984741211
bih,mf,2009,27.200000762939453
bih,m,2009,25.700000762939453
bih,f,2009,29.600000381469727
bih,mf,2010,26.600000381469727
bih,m,2010,25.799999237060547
bih,f,2010,28.0
bih,mf,2011,25.200000762939453
bih,m,2011,25.100000381469727
bih,f,2011,25.399999618530273
bih,mf,2012,27.399999618530273
bih,m,2012,27.200000762939453
bih,f,2012,27.700000762939453
bih,mf,2013,25.299999237060547
bih,m,2013,26.200000762939453
bih,f,2013,24.100000381469727
bwa,mf,1984,53.5
bwa,m,1984,45.20000076293945
bwa,f,1984,62.20000076293945
bwa,mf,1994,32.099998474121094
bwa,m,1994,30.700000762939453
bwa,f,1994,33.79999923706055
bwa,mf,2006,35.79999923706055
bwa,m,2006,32.900001525878906
bwa,f,2006,38.900001525878906
bwa,mf,2010,12.899999618530273
bwa,m,2010,10.199999809265137
bwa,f,2010,16.0
bra,mf,1990,29.299999237060547
bra,m,1990,29.0
bra,f,1990,29.899999618530273
bra,mf,1992,35.599998474121094
bra,m,1992,33.79999923706055
bra,f,1992,38.29999923706055
bra,mf,1993,35.400001525878906
bra,m,1993,33.70000076293945
bra,f,1993,38.0
bra,mf,1995,35.79999923706055
bra,m,1995,34.5
bra,f,1995,37.79999923706055
bra,mf,1996,34.599998474121094
bra,m,1996,34.5
bra,f,1996,34.599998474121094
bra,mf,2000,27.399999618530273
bra,m,2000,30.700000762939453
bra,f,2000,22.0
bra,mf,2001,33.70000076293945
bra,m,2001,34.400001525878906
bra,f,2001,32.599998474121094
bra,mf,2002,33.79999923706055
bra,m,2002,34.29999923706055
bra,f,2002,32.900001525878906
bra,mf,2003,33.70000076293945
bra,m,2003,34.5
bra,f,2003,32.599998474121094
bra,mf,2004,33.0
bra,m,2004,33.79999923706055
bra,f,2004,32.0
bra,mf,2005,28.399999618530273
bra,m,2005,30.700000762939453
bra,f,2005,25.299999237060547
bra,mf,2006,27.200000762939453
bra,m,2006,29.5
bra,f,2006,24.200000762939453
bra,mf,2007,27.0
bra,m,2007,29.200000762939453
bra,f,2007,24.0
bra,mf,2008,25.200000762939453
bra,m,2008,27.100000381469727
bra,f,2008,22.600000381469727
bra,mf,2009,25.100000381469727
bra,m,2009,27.100000381469727
bra,f,2009,22.399999618530273
bra,mf,2011,24.5
bra,m,2011,27.399999618530273
bra,f,2011,20.399999618530273
bra,mf,2012,23.700000762939453
bra,m,2012,26.600000381469727
bra,f,2012,19.700000762939453
bra,mf,2013,23.100000381469727
bra,m,2013,26.200000762939453
bra,f,2013,18.799999237060547
vgb,mf,1991,7.0
vgb,m,1991,8.899999618530273
vgb,f,1991,4.5
brn,mf,1991,4.099999904632568
brn,m,1991,4.400000095367432
brn,f,1991,3.4000000953674316
bgr,mf,2000,14.0
bgr,m,2000,16.100000381469727
bgr,f,2000,11.600000381469727
bgr,mf,2001,11.5
bgr,m,2001,13.100000381469727
bgr,f,2001,9.800000190734863
bgr,mf,2002,11.699999809265137
bgr,m,2002,13.100000381469727
bgr,f,2002,10.300000190734863
bgr,mf,2003,12.300000190734863
bgr,m,2003,13.899999618530273
bgr,f,2003,10.399999618530273
bgr,mf,2004,12.0
bgr,m,2004,13.5
bgr,f,2004,10.300000190734863
bgr,mf,2005,10.199999809265137
bgr,m,2005,11.399999618530273
bgr,f,2005,8.800000190734863
bgr,mf,2006,9.199999809265137
bgr,m,2006,10.399999618530273
bgr,f,2006,7.800000190734863
bgr,mf,2007,8.399999618530273
bgr,m,2007,9.5
bgr,f,2007,7.099999904632568
bgr,mf,2008,8.699999809265137
bgr,m,2008,9.800000190734863
bgr,f,2008,7.5
bgr,mf,2009,9.0
bgr,m,2009,10.100000381469727
bgr,f,2009,7.699999809265137
bgr,mf,2010,9.0
bgr,m,2010,9.899999618530273
bgr,f,2010,8.0
bgr,mf,2011,8.5
bgr,m,2011,9.699999809265137
bgr,f,2011,7.099999904632568
bgr,mf,2012,8.0
bgr,m,2012,9.300000190734863
bgr,f,2012,6.599999904632568
bgr,mf,2013,8.199999809265137
bgr,m,2013,9.5
bgr,f,2013,6.800000190734863
bgr,mf,2014,8.699999809265137
bgr,m,2014,10.100000381469727
bgr,f,2014,7.099999904632568
bfa,mf,1985,96.4000015258789
bfa,m,1985,93.9000015258789
bfa,f,1985,99.0
bfa,mf,1994,95.19999694824219
bfa,m,1994,92.30000305175781
bfa,f,1994,98.30000305175781
bfa,mf,2003,94.30000305175781
bfa,m,2003,91.5999984741211
bfa,f,2003,97.0
bfa,mf,2006,89.5999984741211
bfa,m,2006,86.69999694824219
bfa,f,2006,93.0999984741211
bdi,mf,1998,94.19999694824219
bdi,m,1998,89.9000015258789
bdi,f,1998,97.5999984741211
bdi,mf,2004,94.5999984741211
bdi,mf,2005,93.9000015258789
bdi,mf,2006,93.9000015258789
bdi,mf,2007,93.9000015258789
bdi,mf,2008,90.0999984741211
bdi,m,2008,87.30000305175781
bdi,f,2008,92.69999694824219
bdi,mf,2009,93.69999694824219
bdi,mf,2010,93.69999694824219
khm,mf,2000,84.5
khm,m,2000,80.9000015258789
khm,f,2000,87.9000015258789
khm,mf,2001,83.5
khm,m,2001,80.69999694824219
khm,f,2001,86.19999694824219
khm,mf,2004,86.69999694824219
khm,mf,2008,82.5
khm,m,2008,79.0999984741211
khm,f,2008,85.80000305175781
khm,mf,2009,72.69999694824219
khm,m,2009,68.5999984741211
khm,f,2009,76.80000305175781
khm,mf,2010,69.80000305175781
khm,m,2010,64.30000305175781
khm,f,2010,75.30000305175781
khm,mf,2011,68.5
khm,m,2011,64.0999984741211
khm,f,2011,72.80000305175781
khm,mf,2012,64.0999984741211
khm,m,2012,58.79999923706055
khm,f,2012,69.69999694824219
cmr,mf,1996,80.0999984741211
cmr,m,1996,69.5
cmr,f,1996,91.4000015258789
cmr,mf,2001,75.9000015258789
cmr,m,2001,64.4000015258789
cmr,f,2001,87.80000305175781
cmr,mf,2005,79.80000305175781
cmr,mf,2010,73.5999984741211
cmr,m,2010,63.900001525878906
cmr,f,2010,84.0999984741211
cpv,mf,2000,39.599998474121094
cpv,m,2000,35.900001525878906
cpv,f,2000,44.0
cym,mf,2011,4.199999809265137
cym,m,2011,6.099999904632568
cym,f,2011,2.4000000953674316
cym,mf,2012,3.799999952316284
cym,m,2012,5.099999904632568
cym,f,2012,2.5
tcd,mf,1993,93.69999694824219
tcd,m,1993,89.5999984741211
tcd,f,1993,98.0
col,mf,1992,28.299999237060547
col,m,1992,29.700000762939453
col,f,1992,26.399999618530273
col,mf,1993,27.799999237060547
col,m,1993,29.700000762939453
col,f,1993,25.200000762939453
col,mf,1994,25.600000381469727
col,m,1994,27.200000762939453
col,f,1994,23.299999237060547
col,mf,1995,29.600000381469727
col,m,1995,31.700000762939453
col,f,1995,26.600000381469727
col,mf,1996,29.0
col,m,1996,31.299999237060547
col,f,1996,25.700000762939453
col,mf,1997,30.399999618530273
col,m,1997,32.900001525878906
col,f,1997,27.100000381469727
col,mf,1998,31.899999618530273
col,m,1998,33.099998474121094
col,f,1998,30.299999237060547
col,mf,1999,34.20000076293945
col,m,1999,36.20000076293945
col,f,1999,31.799999237060547
col,mf,2000,43.400001525878906
col,m,2000,44.099998474121094
col,f,2000,42.400001525878906
col,mf,2001,47.099998474121094
col,m,2001,48.099998474121094
col,f,2001,45.599998474121094
col,mf,2002,46.400001525878906
col,m,2002,46.79999923706055
col,f,2002,45.900001525878906
col,mf,2003,44.70000076293945
col,m,2003,44.79999923706055
col,f,2003,44.70000076293945
col,mf,2004,45.5
col,m,2004,45.5
col,f,2004,45.5
col,mf,2005,45.400001525878906
col,m,2005,45.400001525878906
col,f,2005,45.29999923706055
col,mf,2006,43.70000076293945
col,m,2006,43.20000076293945
col,f,2006,44.599998474121094
col,mf,2007,41.29999923706055
col,m,2007,41.400001525878906
col,f,2007,41.20000076293945
col,mf,2008,47.0
col,m,2008,47.20000076293945
col,f,2008,46.70000076293945
col,mf,2009,47.29999923706055
col,m,2009,46.5
col,f,2009,48.5
col,mf,2010,48.599998474121094
col,m,2010,48.20000076293945
col,f,2010,49.29999923706055
col,mf,2011,48.79999923706055
col,m,2011,47.900001525878906
col,f,2011,50.20000076293945
col,mf,2012,48.599998474121094
col,m,2012,47.20000076293945
col,f,2012,50.70000076293945
col,mf,2013,47.900001525878906
col,m,2013,47.099998474121094
col,f,2013,49.0
cog,mf,2005,75.0999984741211
cog,m,2005,60.0
cog,f,2005,89.4000015258789
cri,mf,1980,20.399999618530273
