country,sex,year,contributing_family_workers_d_000
bra,mf,2002,5805.0
bra,m,2002,2621.0
bra,f,2002,3184.0
bra,mf,2003,5665.0
bra,m,2003,2564.0
bra,f,2003,3101.0
bra,mf,2004,5883.0
bra,m,2004,2673.0
bra,f,2004,3210.0
bra,mf,2005,5920.0
bra,m,2005,2606.0
bra,f,2005,3313.0
bra,mf,2006,5402.0
bra,m,2006,2339.0
bra,f,2006,3063.0
bra,mf,2007,5311.0
bra,m,2007,2342.0
bra,f,2007,2969.0
bra,mf,2008,4587.47802734375
bra,m,2008,1936.4649658203125
bra,f,2008,2651.012939453125
bra,mf,2009,4298.9951171875
bra,m,2009,1794.083984375
bra,f,2009,2504.910888671875
bra,mf,2011,3199.89501953125
bra,m,2011,1304.27294921875
bra,f,2011,1895.6219482421875
bra,mf,2012,2872.3349609375
bra,m,2012,1176.4830322265625
bra,f,2012,1695.85205078125
bra,mf,2013,2394.992919921875
bra,m,2013,935.7919921875
bra,f,2013,1459.2010498046875
vgb,mf,1991,0.028999999165534973
vgb,m,1991,0.013000000268220901
vgb,f,1991,0.01600000075995922
brn,mf,1991,0.48899999260902405
brn,m,1991,0.2720000147819519
brn,f,1991,0.21699999272823334
bgr,mf,2000,49.55699920654297
bgr,m,2000,17.400999069213867
bgr,f,2000,32.15599822998047
bgr,mf,2001,42.744998931884766
bgr,m,2001,17.016000747680664
bgr,f,2001,25.729999542236328
bgr,mf,2002,47.6510009765625
bgr,m,2002,17.16200065612793
bgr,f,2002,30.48900032043457
bgr,mf,2003,58.2239990234375
bgr,m,2003,21.72800064086914
bgr,f,2003,36.49700164794922
bgr,mf,2004,63.8849983215332
bgr,m,2004,22.399999618530273
bgr,f,2004,41.48500061035156
bgr,mf,2005,46.05500030517578
bgr,m,2005,14.720000267028809
bgr,f,2005,31.334999084472656
bgr,mf,2006,39.777000427246094
bgr,m,2006,13.126999855041504
bgr,f,2006,26.649999618530273
bgr,mf,2007,37.90700149536133
bgr,m,2007,12.87600040435791
bgr,f,2007,25.030000686645508
bgr,mf,2008,34.016998291015625
bgr,m,2008,10.371000289916992
bgr,f,2008,23.645999908447266
bgr,mf,2009,33.27299880981445
bgr,m,2009,9.958000183105469
bgr,f,2009,23.31399917602539
bgr,mf,2010,32.15999984741211
bgr,m,2010,11.038000106811523
bgr,f,2010,21.12299919128418
bgr,mf,2011,30.236000061035156
bgr,m,2011,12.225000381469727
bgr,f,2011,18.011999130249023
bgr,mf,2012,24.472999572753906
bgr,m,2012,8.467000007629395
bgr,f,2012,16.006999969482422
bgr,mf,2013,19.55699920654297
bgr,m,2013,6.7270002365112305
bgr,f,2013,12.829999923706055
bgr,mf,2014,20.635000228881836
bgr,m,2014,6.309999942779541
bgr,f,2014,14.324999809265137
bfa,mf,1985,2658.0009765625
bfa,m,1985,900.7050170898438
bfa,f,1985,1757.2960205078125
bfa,mf,1994,3220.89501953125
bfa,m,1994,1249.8160400390625
bfa,f,1994,1971.0789794921875
bfa,mf,2003,2874.12109375
bfa,m,2003,857.3679809570312
bfa,f,2003,2016.751953125
bfa,mf,2006,2430.903076171875
bfa,m,2006,760.6729736328125
bfa,f,2006,1670.22998046875
bdi,mf,1998,178.79800415039062
bdi,m,1998,41.98400115966797
bdi,f,1998,136.81399536132812
bdi,mf,2004,1026.699951171875
bdi,mf,2005,1061.6309814453125
bdi,mf,2006,1097.7259521484375
bdi,mf,2007,1126.39501953125
bdi,mf,2008,223.07699584960938
