country,sex,year,own_account_workers_b
aze,m,2013,24.899999618530273
aze,f,2013,28.399999618530273
bhs,mf,1991,11.800000190734863
bhs,m,1991,14.5
bhs,f,1991,9.0
bhs,mf,1992,12.699999809265137
bhs,m,1992,17.200000762939453
bhs,f,1992,7.800000190734863
bhs,mf,1993,12.600000381469727
bhs,m,1993,15.600000381469727
bhs,f,1993,9.199999809265137
bhs,mf,1994,13.899999618530273
bhs,m,1994,16.899999618530273
bhs,f,1994,10.699999809265137
bhs,mf,1995,13.699999809265137
bhs,m,1995,16.100000381469727
bhs,f,1995,11.100000381469727
bhs,mf,1996,15.800000190734863
bhs,m,1996,19.200000762939453
bhs,f,1996,11.800000190734863
bhs,mf,1997,14.699999809265137
bhs,m,1997,18.700000762939453
bhs,f,1997,10.199999809265137
bhs,mf,1998,14.5
bhs,m,1998,18.399999618530273
bhs,f,1998,10.399999618530273
bhs,mf,1999,15.600000381469727
bhs,m,1999,19.899999618530273
bhs,f,1999,10.800000190734863
bhs,mf,2001,13.800000190734863
bhs,m,2001,18.299999237060547
bhs,f,2001,9.100000381469727
bhs,mf,2002,15.0
bhs,m,2002,19.899999618530273
bhs,f,2002,9.899999618530273
bhs,mf,2003,14.199999809265137
bhs,m,2003,17.700000762939453
bhs,f,2003,10.5
bhs,mf,2004,14.800000190734863
bhs,m,2004,17.799999237060547
bhs,f,2004,11.5
bhs,mf,2008,13.300000190734863
bhs,m,2008,17.0
bhs,f,2008,9.199999809265137
bhs,mf,2011,13.899999618530273
bhs,m,2011,18.799999237060547
bhs,f,2011,9.0
bhr,mf,2002,1.7000000476837158
bhr,m,2002,2.0
bhr,f,2002,0.4000000059604645
bhr,mf,2003,1.600000023841858
bhr,m,2003,2.0
bhr,f,2003,0.4000000059604645
bhr,mf,2004,1.899999976158142
bhr,m,2004,2.299999952316284
bhr,f,2004,0.4000000059604645
bhr,mf,2005,1.600000023841858
bhr,m,2005,1.899999976158142
bhr,f,2005,0.4000000059604645
bhr,mf,2006,1.600000023841858
bhr,m,2006,1.899999976158142
bhr,f,2006,0.4000000059604645
bhr,mf,2007,1.5
bhr,m,2007,1.7999999523162842
bhr,f,2007,0.4000000059604645
bhr,mf,2008,1.5
bhr,m,2008,1.7000000476837158
bhr,f,2008,0.4000000059604645
bhr,mf,2009,1.399999976158142
bhr,m,2009,1.7000000476837158
bhr,f,2009,0.4000000059604645
bhr,mf,2010,1.399999976158142
bhr,m,2010,1.7000000476837158
bhr,f,2010,0.4000000059604645
bgd,mf,1996,29.299999237060547
bgd,m,1996,42.70000076293945
bgd,f,1996,7.599999904632568
bgd,mf,2000,35.099998474121094
bgd,m,2000,49.599998474121094
bgd,f,2000,11.0
bgd,mf,2003,64.80000305175781
bgd,m,2003,73.5
bgd,f,2003,34.20000076293945
bgd,mf,2005,63.29999923706055
bgd,m,2005,74.80000305175781
bgd,f,2005,26.399999618530273
bgd,mf,2010,40.70000076293945
bgd,m,2010,47.400001525878906
bgd,f,2010,25.100000381469727
bgd,mf,2011,53.900001525878906
bgd,m,2011,58.0
bgd,f,2011,26.600000381469727
brb,mf,1990,10.899999618530273
brb,m,1990,13.300000190734863
brb,f,1990,8.0
brb,mf,1991,11.199999809265137
brb,m,1991,14.100000381469727
brb,f,1991,7.699999809265137
brb,mf,1992,12.300000190734863
brb,m,1992,15.199999809265137
brb,f,1992,8.899999618530273
brb,mf,1993,12.699999809265137
brb,m,1993,15.5
brb,f,1993,9.5
brb,mf,1994,12.199999809265137
brb,m,1994,14.600000381469727
brb,f,1994,9.399999618530273
brb,mf,1995,12.300000190734863
brb,m,1995,14.899999618530273
brb,f,1995,9.199999809265137
brb,mf,1996,12.199999809265137
brb,m,1996,15.100000381469727
brb,f,1996,9.0
brb,mf,1997,11.600000381469727
brb,m,1997,15.0
brb,f,1997,7.800000190734863
brb,mf,1998,11.899999618530273
brb,m,1998,14.899999618530273
brb,f,1998,8.399999618530273
brb,mf,1999,13.600000381469727
brb,m,1999,17.399999618530273
brb,f,1999,9.0
brb,mf,2000,12.300000190734863
brb,m,2000,16.5
brb,f,2000,7.699999809265137
brb,mf,2001,13.399999618530273
brb,m,2001,17.600000381469727
brb,f,2001,8.899999618530273
brb,mf,2002,13.600000381469727
brb,m,2002,17.700000762939453
brb,f,2002,9.0
brb,mf,2003,13.600000381469727
brb,m,2003,18.399999618530273
brb,f,2003,8.399999618530273
brb,mf,2004,13.899999618530273
brb,m,2004,17.899999618530273
brb,f,2004,9.699999809265137
brb,mf,2013,15.899999618530273
brb,m,2013,20.299999237060547
brb,f,2013,11.100000381469727
blr,mf,2009,2.0
blr,m,2009,2.4000000953674316
blr,f,2009,1.600000023841858
bel,mf,1980,13.199999809265137
bel,m,1980,15.199999809265137
bel,f,1980,9.399999618530273
bel,mf,1981,13.5
bel,m,1981,15.699999809265137
bel,f,1981,9.600000381469727
bel,mf,1982,13.699999809265137
bel,m,1982,16.100000381469727
bel,f,1982,9.699999809265137
bel,mf,1983,12.899999618530273
bel,m,1983,14.399999618530273
bel,f,1983,10.0
bel,mf,1984,14.100000381469727
bel,m,1984,15.899999618530273
bel,f,1984,10.800000190734863
bel,mf,1985,14.300000190734863
bel,m,1985,16.299999237060547
bel,f,1985,10.399999618530273
bel,mf,1986,13.600000381469727
bel,m,1986,15.5
bel,f,1986,10.199999809265137
bel,mf,1987,13.800000190734863
bel,m,1987,16.200000762939453
bel,f,1987,9.699999809265137
bel,mf,1988,13.800000190734863
bel,m,1988,15.899999618530273
bel,f,1988,10.100000381469727
bel,mf,1989,14.600000381469727
bel,m,1989,17.100000381469727
bel,f,1989,10.300000190734863
bel,mf,1990,14.399999618530273
bel,m,1990,16.899999618530273
bel,f,1990,10.199999809265137
bel,mf,1991,13.5
bel,m,1991,15.899999618530273
bel,f,1991,9.800000190734863
bel,mf,1992,13.5
bel,m,1992,15.800000190734863
bel,f,1992,10.0
