country,sex,year,persons_in_vulnerable_employment_thousands
bel,mf,2004,421.49798583984375
bel,m,2004,252.10499572753906
bel,f,2004,169.3939971923828
bel,mf,2005,448.1610107421875
bel,m,2005,264.1860046386719
bel,f,2005,183.9739990234375
bel,mf,2006,443.52398681640625
bel,m,2006,267.5589904785156
bel,f,2006,175.96600341796875
bel,mf,2007,451.9280090332031
bel,m,2007,272.5400085449219
bel,f,2007,179.38800048828125
bel,mf,2008,445.5559997558594
bel,m,2008,273.2349853515625
bel,f,2008,172.32200622558594
bel,mf,2009,456.47198486328125
bel,m,2009,277.2760009765625
bel,f,2009,179.19700622558594
bel,mf,2010,443.9549865722656
bel,m,2010,273.56298828125
bel,f,2010,170.39300537109375
bel,mf,2011,458.5509948730469
bel,m,2011,282.6199951171875
bel,f,2011,175.9320068359375
bel,mf,2012,463.7749938964844
bel,m,2012,290.56298828125
bel,f,2012,173.21200561523438
bel,mf,2013,488.3760070800781
bel,m,2013,312.9100036621094
bel,f,2013,175.46600341796875
bel,mf,2014,477.27301025390625
bel,m,2014,298.22198486328125
bel,f,2014,179.05099487304688
blz,mf,1995,15.930000305175781
blz,m,1995,11.710000038146973
blz,f,1995,4.21999979019165
blz,mf,1996,17.30500030517578
blz,m,1996,13.359999656677246
blz,f,1996,3.944999933242798
blz,mf,2005,23.211999893188477
blz,m,2005,15.967000007629395
blz,f,2005,7.248000144958496
ben,mf,2003,2415.048095703125
ben,m,2003,1100.0689697265625
ben,f,2003,1314.97900390625
ben,mf,2010,2036.2459716796875
ben,m,2010,912.7360229492188
ben,f,2010,1123.510009765625
bmu,mf,2009,2.743000030517578
bmu,m,2009,1.7660000324249268
bmu,f,2009,0.9769999980926514
bmu,mf,2010,2.305999994277954
bmu,m,2010,1.5149999856948853
bmu,f,2010,0.7910000085830688
bmu,mf,2012,2.7699999809265137
bmu,m,2012,1.8769999742507935
bmu,f,2012,0.8920000195503235
btn,mf,2006,150.8000030517578
btn,m,2006,74.69999694824219
btn,f,2006,76.5
btn,mf,2009,232.22300720214844
btn,m,2009,103.56300354003906
btn,f,2009,128.63699340820312
btn,mf,2010,220.6999969482422
btn,m,2010,101.80000305175781
btn,f,2010,118.9000015258789
btn,mf,2011,229.5
btn,m,2011,101.9000015258789
btn,f,2011,127.5
btn,mf,2012,174.8000030517578
btn,m,2012,61.38999938964844
btn,f,2012,113.41000366210938
bol,mf,1989,376.239990234375
bol,m,1989,180.07000732421875
bol,f,1989,196.1699981689453
bol,mf,1990,364.7799987792969
bol,m,1990,175.47000122070312
bol,f,1990,189.30999755859375
bol,mf,1991,387.6499938964844
bol,m,1991,176.47999572753906
bol,f,1991,211.1699981689453
bol,mf,1992,396.260009765625
bol,m,1992,178.0399932861328
bol,f,1992,218.22000122070312
bol,mf,1993,409.2300109863281
bol,m,1993,173.14999389648438
bol,f,1993,236.0800018310547
bol,mf,1994,456.3500061035156
bol,m,1994,182.75999450683594
bol,f,1994,273.5899963378906
bol,mf,1995,509.25
bol,m,1995,209.47999572753906
bol,f,1995,299.7699890136719
bol,mf,1996,784.7999877929688
bol,m,1996,311.739990234375
bol,f,1996,474.05999755859375
bol,mf,1997,853.780029296875
bol,m,1997,383.25
bol,f,1997,470.5199890136719
bol,mf,1999,2399.699951171875
bol,m,1999,1161.699951171875
bol,f,1999,1237.9000244140625
bol,mf,2000,2404.5
bol,m,2000,1229.4000244140625
bol,f,2000,1174.800048828125
bol,mf,2001,2519.89990234375
bol,m,2001,1246.5999755859375
bol,f,2001,1273.300048828125
bol,mf,2002,2438.10009765625
bol,m,2002,1230.0999755859375
bol,f,2002,1207.9000244140625
bol,mf,2003,2484.866943359375
bol,m,2003,1115.4439697265625
bol,f,2003,1369.4229736328125
bol,mf,2004,2484.866943359375
bol,m,2004,1115.4439697265625
bol,f,2004,1369.4229736328125
bol,mf,2005,2552.386962890625
bol,m,2005,1211.032958984375
bol,f,2005,1341.35400390625
bol,mf,2006,2775.951904296875
bol,m,2006,1364.2149658203125
bol,f,2006,1411.737060546875
bol,mf,2007,2665.60009765625
bol,m,2007,1265.199951171875
bol,f,2007,1400.4000244140625
bol,mf,2008,2810.285888671875
bol,m,2008,1329.718017578125
bol,f,2008,1480.5679931640625
bol,mf,2009,2752.676025390625
bol,m,2009,1309.510986328125
bol,f,2009,1443.1650390625
bol,mf,2011,2715.791015625
bol,m,2011,1304.2540283203125
bol,f,2011,1411.5369873046875
bih,mf,2009,234.0
bih,m,2009,139.0
bih,f,2009,94.0
bih,mf,2010,224.0
bih,m,2010,137.0
bih,f,2010,87.0
bih,mf,2011,206.0
bih,m,2011,129.0
bih,f,2011,77.0
bih,mf,2012,223.0
bih,m,2012,140.0
bih,f,2012,83.0
bih,mf,2013,208.0
bih,m,2013,135.0
bih,f,2013,74.0
bwa,mf,1984,143.66000366210938
bwa,m,1984,62.16999816894531
bwa,f,1984,81.5
bwa,mf,1994,118.39199829101562
bwa,m,1994,61.736000061035156
bwa,f,1994,56.65599822998047
bwa,mf,2006,192.83599853515625
bwa,m,2006,92.79499816894531
bwa,f,2006,100.13999938964844
bwa,mf,2010,74.60399627685547
bwa,m,2010,32.082000732421875
bwa,f,2010,42.52199935913086
bra,mf,1990,17380.240234375
bra,m,1990,11037.3603515625
bra,f,1990,6342.8837890625
bra,mf,1992,22004.9296875
bra,m,1992,12724.76953125
bra,f,1992,9280.1591796875
bra,mf,1993,22357.58984375
bra,m,1993,12923.73046875
bra,f,1993,9433.8525390625
bra,mf,1995,23744.76953125
bra,m,1995,13686.1298828125
bra,f,1995,10058.6298828125
bra,mf,1996,22608.640625
bra,m,1996,13653.1904296875
bra,f,1996,8955.4443359375
bra,mf,2000,18004.779296875
bra,m,2000,12559.1796875
bra,f,2000,5445.60498046875
bra,mf,2001,25650.0
bra,m,2001,15542.0
bra,f,2001,10108.0
bra,mf,2002,26649.0
bra,m,2002,15907.0
bra,f,2002,10742.0
bra,mf,2003,27044.0
bra,m,2003,16199.0
bra,f,2003,10845.0
bra,mf,2004,27945.0
bra,m,2004,16648.0
bra,f,2004,11297.0
bra,mf,2005,24773.0
bra,m,2005,15501.0
bra,f,2005,9271.0
bra,mf,2006,24326.0
bra,m,2006,15155.0
bra,f,2006,9171.0
bra,mf,2007,24524.0
bra,m,2007,15304.0
bra,f,2007,9220.0
bra,mf,2008,23276.26953125
bra,m,2008,14412.599609375
bra,f,2008,8863.6650390625
bra,mf,2009,23277.490234375
bra,m,2009,14420.4404296875
bra,f,2009,8857.05078125
bra,mf,2011,22864.779296875
bra,m,2011,14841.5302734375
bra,f,2011,8023.2568359375
bra,mf,2012,22433.76953125
bra,m,2012,14534.0498046875
bra,f,2012,7899.71923828125
bra,mf,2013,22319.369140625
bra,m,2013,14569.8798828125
bra,f,2013,7749.4951171875
vgb,mf,1991,0.6100000143051147
vgb,m,1991,0.4399999976158142
vgb,f,1991,0.17000000178813934
brn,mf,1991,4.390999794006348
brn,m,1991,3.2070000171661377
brn,f,1991,1.184000015258789
bgr,mf,2000,401.89801025390625
bgr,m,2000,246.13099670410156
bgr,f,2000,155.76699829101562
bgr,mf,2001,317.239990234375
bgr,m,2001,188.3179931640625
bgr,f,2001,128.92300415039062
bgr,mf,2002,328.86199951171875
bgr,m,2002,192.13299560546875
bgr,f,2002,136.72900390625
bgr,mf,2003,352.9460144042969
bgr,m,2003,212.1840057373047
bgr,f,2003,140.76300048828125
bgr,mf,2004,356.6990051269531
bgr,m,2004,212.72900390625
bgr,f,2004,143.97000122070312
bgr,mf,2005,303.89801025390625
bgr,m,2005,181.781005859375
bgr,f,2005,122.11699676513672
bgr,mf,2006,285.86199951171875
bgr,m,2006,171.60299682617188
bgr,f,2006,114.26000213623047
bgr,mf,2007,271.927001953125
bgr,m,2007,164.67799377441406
bgr,f,2007,107.24700164794922
bgr,mf,2008,293.92401123046875
bgr,m,2008,175.6529998779297
bgr,f,2008,118.2699966430664
bgr,mf,2009,292.6319885253906
bgr,m,2009,174.75900268554688
bgr,f,2009,117.87200164794922
bgr,mf,2010,274.9100036621094
bgr,m,2010,159.69200134277344
bgr,f,2010,115.21900177001953
bgr,mf,2011,251.5
bgr,m,2011,151.91200256347656
bgr,f,2011,99.58999633789062
bgr,mf,2012,235.375
bgr,m,2012,143.42100524902344
bgr,f,2012,91.95500183105469
bgr,mf,2013,241.1959991455078
bgr,m,2013,146.83399963378906
bgr,f,2013,94.36199951171875
bgr,mf,2014,258.7070007324219
bgr,m,2014,158.69400024414062
bgr,f,2014,100.01300048828125
bfa,mf,1985,3874.7939453125
bfa,m,1985,1920.7449951171875
bfa,f,1985,1954.0489501953125
bfa,mf,1994,4429.98583984375
bfa,m,1994,2211.376953125
bfa,f,1994,2218.60888671875
bfa,mf,2003,4728.65283203125
bfa,m,2003,2291.677001953125
bfa,f,2003,2436.97509765625
bfa,mf,2006,4737.47314453125
bfa,m,2006,2490.248046875
bfa,f,2006,2247.22509765625
bdi,mf,1998,2457.7880859375
bdi,m,1998,1040.7320556640625
bdi,f,1998,1417.0550537109375
bdi,mf,2004,3155.800048828125
bdi,mf,2005,3263.14404296875
bdi,mf,2006,3374.091064453125
bdi,mf,2007,3462.214111328125
bdi,mf,2008,2799.510009765625
bdi,m,2008,1302.5
bdi,f,2008,1497.010009765625
bdi,mf,2009,2896.64208984375
bdi,mf,2010,2966.1630859375
khm,mf,2000,4457.162109375
khm,m,2000,2052.376953125
khm,f,2000,2404.784912109375
khm,mf,2001,5215.02099609375
khm,m,2001,2433.3720703125
khm,f,2001,2781.64892578125
khm,mf,2004,5685.46484375
khm,mf,2008,5744.13916015625
khm,m,2008,2693.176025390625
khm,f,2008,3050.962890625
cmr,mf,1996,3581.5
cmr,m,1996,1605.199951171875
cmr,f,1996,1976.4000244140625
cmr,mf,2001,4406.0
cmr,m,2001,1901.0
cmr,f,2001,2505.0
cmr,mf,2010,6514.60302734375
cmr,m,2010,2954.68896484375
cmr,f,2010,3559.9140625
cpv,mf,2000,56.167999267578125
cpv,m,2000,27.558000564575195
cpv,f,2000,28.610000610351562
cym,mf,2011,1.406999945640564
cym,m,2011,1.00600004196167
cym,f,2011,0.4020000100135803
cym,mf,2012,1.3869999647140503
cym,m,2012,0.925000011920929
cym,f,2012,0.4620000123977661
tcd,mf,1993,2015.9300537109375
tcd,m,1993,995.8159790039062
tcd,f,1993,1020.1160278320312
col,mf,1992,1417.800048828125
col,m,1992,866.4000244140625
col,f,1992,551.2999877929688
col,mf,1993,1470.5999755859375
col,m,1993,914.9000244140625
col,f,1993,555.5999755859375
col,mf,1994,1378.699951171875
col,m,1994,866.2000122070312
col,f,1994,512.5
col,mf,1995,1615.800048828125
col,m,1995,1008.7000122070312
col,f,1995,607.0
col,mf,1996,1570.199951171875
col,m,1996,992.7000122070312
col,f,1996,577.4000244140625
col,mf,1997,1722.4000244140625
col,m,1997,1068.699951171875
col,f,1997,653.7000122070312
col,mf,1998,1801.800048828125
col,m,1998,1056.4000244140625
col,f,1998,745.4000244140625
col,mf,1999,1931.5
col,m,1999,1131.5
col,f,1999,800.0
col,mf,2000,6889.45703125
col,m,2000,4297.373046875
col,f,2000,2592.083984375
col,mf,2001,7709.4921875
col,m,2001,4778.7529296875
col,f,2001,2930.739013671875
col,mf,2002,7619.7490234375
col,m,2002,4584.369140625
col,f,2002,3035.381103515625
col,mf,2003,7746.3818359375
col,m,2003,4666.87890625
col,f,2003,3079.5009765625
col,mf,2004,7897.8828125
col,m,2004,4663.2958984375
col,f,2004,3234.587890625
col,mf,2005,8063.4130859375
col,m,2005,4866.35107421875
col,f,2005,3197.06298828125
col,mf,2006,7963.98193359375
col,m,2006,4676.8662109375
col,f,2006,3287.114990234375
col,mf,2007,7487.9541015625
col,m,2007,4489.1328125
col,f,2007,2998.822021484375
col,mf,2008,8210.365234375
col,m,2008,5007.9560546875
col,f,2008,3202.407958984375
col,mf,2009,8739.58203125
col,m,2009,5160.01708984375
col,f,2009,3579.56494140625
col,mf,2010,9290.8994140625
col,m,2010,5473.6708984375
col,f,2010,3817.22705078125
col,mf,2011,9629.2861328125
col,m,2011,5604.6181640625
col,f,2011,4024.6669921875
col,mf,2012,10107.830078125
col,m,2012,5704.9921875
col,f,2012,4402.84423828125
col,mf,2013,10086.009765625
col,m,2013,5798.412109375
col,f,2013,4287.60009765625
cog,mf,2005,893.739990234375
cog,m,2005,348.51800537109375
cog,f,2005,545.2219848632812
cri,mf,1980,157.14999389648438
cri,mf,1981,169.6199951171875
cri,mf,1982,183.92999267578125
cri,mf,1983,183.99000549316406
cri,mf,1984,177.0
cri,mf,1985,195.66000366210938
cri,mf,1986,197.0800018310547
cri,mf,1987,237.5
cri,m,1987,192.39999389648438
cri,f,1987,44.900001525878906
cri,mf,1988,232.1999969482422
cri,m,1988,183.0
cri,f,1988,49.099998474121094
cri,mf,1989,249.3000030517578
cri,m,1989,194.6999969482422
cri,f,1989,54.599998474121094
cri,mf,1990,250.89999389648438
cri,m,1990,192.3000030517578
cri,f,1990,58.599998474121094
cri,mf,1991,256.29998779296875
cri,m,1991,188.3000030517578
cri,f,1991,68.0
cri,mf,1992,242.5
cri,m,1992,182.10000610351562
cri,f,1992,60.400001525878906
cri,mf,1993,254.10000610351562
cri,m,1993,184.1999969482422
cri,f,1993,69.9000015258789
cri,mf,1994,243.89999389648438
cri,m,1994,176.39999389648438
cri,f,1994,67.5999984741211
cri,mf,1995,262.79998779296875
cri,m,1995,188.8000030517578
cri,f,1995,74.0
cri,mf,1996,248.89999389648438
cri,m,1996,188.5
cri,f,1996,60.400001525878906
cri,mf,1997,278.79998779296875
cri,m,1997,195.1999969482422
cri,f,1997,83.69999694824219
cri,mf,1998,275.1000061035156
cri,m,1998,191.6999969482422
cri,f,1998,83.5
cri,mf,1999,272.29998779296875
cri,m,1999,184.3000030517578
cri,f,1999,87.80000305175781
cri,mf,2000,310.29998779296875
cri,m,2000,224.89999389648438
cri,f,2000,85.4000015258789
cri,mf,2001,360.6000061035156
cri,m,2001,232.3000030517578
cri,f,2001,128.3000030517578
cri,mf,2002,377.6000061035156
cri,mf,2003,360.0
cri,m,2003,222.8000030517578
cri,f,2003,137.1999969482422
cri,mf,2004,382.3999938964844
cri,m,2004,242.39999389648438
cri,f,2004,140.0
cri,mf,2005,375.6000061035156
cri,m,2005,234.6999969482422
cri,f,2005,140.8000030517578
cri,mf,2006,395.29998779296875
cri,m,2006,253.60000610351562
cri,f,2006,141.89999389648438
cri,mf,2007,379.8999938964844
cri,m,2007,240.1999969482422
cri,f,2007,139.60000610351562
cri,mf,2008,384.3999938964844
cri,m,2008,236.5
cri,f,2008,147.89999389648438
cri,mf,2009,393.41400146484375
cri,m,2009,239.6179962158203
cri,f,2009,153.79600524902344
cri,mf,2010,388.65301513671875
cri,m,2010,256.9259948730469
cri,f,2010,131.7270050048828
cri,mf,2011,401.3599853515625
cri,m,2011,258.56201171875
cri,f,2011,142.79800415039062
cri,mf,2012,406.7980041503906
cri,m,2012,268.0369873046875
cri,f,2012,138.76100158691406
cri,mf,2013,418.74700927734375
cri,m,2013,267.8070068359375
cri,f,2013,150.94000244140625
