country,sex,year,contributing_family_workers_d
bra,mf,2001,7.400000095367432
bra,m,2001,5.699999809265137
bra,f,2001,9.800000190734863
bra,mf,2002,7.400000095367432
bra,m,2002,5.699999809265137
bra,f,2002,9.800000190734863
bra,mf,2003,7.099999904632568
bra,m,2003,5.5
bra,f,2003,9.300000190734863
bra,mf,2004,7.0
bra,m,2004,5.400000095367432
bra,f,2004,9.100000381469727
bra,mf,2005,6.800000190734863
bra,m,2005,5.199999809265137
bra,f,2005,9.0
bra,mf,2006,6.0
bra,m,2006,4.599999904632568
bra,f,2006,8.100000381469727
bra,mf,2007,5.900000095367432
bra,m,2007,4.5
bra,f,2007,7.699999809265137
bra,mf,2008,5.0
bra,m,2008,3.5999999046325684
bra,f,2008,6.800000190734863
bra,mf,2009,4.599999904632568
bra,m,2009,3.4000000953674316
bra,f,2009,6.300000190734863
bra,mf,2011,3.4000000953674316
bra,m,2011,2.4000000953674316
bra,f,2011,4.800000190734863
bra,mf,2012,3.0
bra,m,2012,2.200000047683716
bra,f,2012,4.199999809265137
bra,mf,2013,2.5
bra,m,2013,1.7000000476837158
bra,f,2013,3.5
vgb,mf,1991,0.30000001192092896
vgb,m,1991,0.30000001192092896
vgb,f,1991,0.4000000059604645
brn,mf,1991,0.5
brn,m,1991,0.4000000059604645
brn,f,1991,0.6000000238418579
bgr,mf,2000,1.7000000476837158
bgr,m,2000,1.100000023841858
bgr,f,2000,2.4000000953674316
bgr,mf,2001,1.600000023841858
bgr,m,2001,1.2000000476837158
bgr,f,2001,2.0
bgr,mf,2002,1.7000000476837158
bgr,m,2002,1.2000000476837158
bgr,f,2002,2.299999952316284
bgr,mf,2003,2.0
bgr,m,2003,1.399999976158142
bgr,f,2003,2.700000047683716
bgr,mf,2004,2.200000047683716
bgr,m,2004,1.399999976158142
bgr,f,2004,3.0
bgr,mf,2005,1.5
bgr,m,2005,0.8999999761581421
bgr,f,2005,2.299999952316284
bgr,mf,2006,1.2999999523162842
bgr,m,2006,0.800000011920929
bgr,f,2006,1.7999999523162842
bgr,mf,2007,1.2000000476837158
bgr,m,2007,0.699999988079071
bgr,f,2007,1.600000023841858
bgr,mf,2008,1.0
bgr,m,2008,0.6000000238418579
bgr,f,2008,1.5
bgr,mf,2009,1.0
bgr,m,2009,0.6000000238418579
bgr,f,2009,1.5
bgr,mf,2010,1.100000023841858
bgr,m,2010,0.699999988079071
bgr,f,2010,1.5
bgr,mf,2011,1.0
bgr,m,2011,0.800000011920929
bgr,f,2011,1.2999999523162842
bgr,mf,2012,0.800000011920929
bgr,m,2012,0.5
bgr,f,2012,1.100000023841858
bgr,mf,2013,0.699999988079071
bgr,m,2013,0.4000000059604645
bgr,f,2013,0.8999999761581421
bgr,mf,2014,0.699999988079071
bgr,m,2014,0.4000000059604645
bgr,f,2014,1.0
bfa,mf,1985,66.19999694824219
bfa,m,1985,44.099998474121094
bfa,f,1985,89.0999984741211
bfa,mf,1994,69.19999694824219
bfa,m,1994,52.20000076293945
bfa,f,1994,87.30000305175781
bfa,mf,2003,57.29999923706055
bfa,m,2003,34.29999923706055
bfa,f,2003,80.30000305175781
bfa,mf,2006,46.0
