country,sex,year,not_classified_percentage
khm,f,2000,0.0
khm,mf,2001,0.10000000149011612
khm,m,2001,0.10000000149011612
khm,f,2001,0.10000000149011612
khm,mf,2004,0.20000000298023224
khm,mf,2008,0.0
khm,m,2008,0.10000000149011612
khm,f,2008,0.0
khm,mf,2009,0.10000000149011612
khm,m,2009,0.10000000149011612
khm,f,2009,0.10000000149011612
khm,mf,2010,0.20000000298023224
khm,m,2010,0.20000000298023224
khm,f,2010,0.30000001192092896
khm,mf,2011,0.10000000149011612
khm,m,2011,0.10000000149011612
khm,f,2011,0.10000000149011612
khm,mf,2012,0.0
khm,m,2012,0.0
khm,f,2012,0.0
cmr,mf,1996,2.0999999046325684
cmr,m,1996,2.9000000953674316
cmr,f,1996,1.2999999523162842
cmr,mf,2001,3.299999952316284
cmr,m,2001,4.199999809265137
cmr,f,2001,2.5
cmr,mf,2010,2.799999952316284
cmr,m,2010,2.700000047683716
cmr,f,2010,3.0
cpv,mf,2000,19.0
cpv,m,2000,17.100000381469727
cpv,f,2000,21.299999237060547
cym,mf,2007,0.5
cym,m,2007,0.5
cym,f,2007,0.5
cym,mf,2008,0.699999988079071
cym,m,2008,0.699999988079071
cym,f,2008,0.6000000238418579
cym,mf,2011,0.6000000238418579
cym,m,2011,0.6000000238418579
cym,f,2011,0.699999988079071
cym,mf,2012,0.30000001192092896
cym,m,2012,0.30000001192092896
cym,f,2012,0.30000001192092896
tcd,mf,1993,1.2000000476837158
tcd,m,1993,1.2999999523162842
tcd,f,1993,1.100000023841858
chl,mf,1990,1.899999976158142
chl,m,1990,1.399999976158142
chl,f,1990,2.9000000953674316
chl,mf,1992,1.600000023841858
chl,m,1992,1.2000000476837158
chl,f,1992,2.5999999046325684
chl,mf,1994,1.2999999523162842
chl,m,1994,0.699999988079071
chl,f,1994,2.4000000953674316
col,mf,2008,0.0
col,m,2008,0.0
col,f,2008,0.0
col,mf,2009,0.10000000149011612
col,m,2009,0.10000000149011612
col,f,2009,0.10000000149011612
col,mf,2010,0.10000000149011612
col,m,2010,0.10000000149011612
col,f,2010,0.10000000149011612
col,mf,2011,0.10000000149011612
col,m,2011,0.0
col,f,2011,0.20000000298023224
col,mf,2012,0.10000000149011612
col,m,2012,0.10000000149011612
col,f,2012,0.20000000298023224
col,mf,2013,0.10000000149011612
col,m,2013,0.10000000149011612
col,f,2013,0.20000000298023224
cog,mf,2005,2.0999999046325684
cog,m,2005,2.799999952316284
cog,f,2005,1.5
civ,mf,2002,4.099999904632568
civ,m,2002,4.599999904632568
civ,f,2002,3.4000000953674316
civ,mf,2012,1.5
civ,m,2012,1.5
civ,f,2012,1.399999976158142
cze,mf,1998,0.0
cze,m,1998,0.0
cze,f,1998,0.0
cze,mf,2000,0.0
cze,m,2000,0.0
cze,f,2000,0.0
cze,mf,2001,0.0
cze,m,2001,0.0
cze,f,2001,0.0
cze,mf,2002,0.0
cze,m,2002,0.0
cze,f,2002,0.0
cze,mf,2003,0.0
cze,m,2003,0.0
cze,f,2003,0.0
cze,mf,2004,0.0
cze,m,2004,0.0
cze,f,2004,0.0
cze,mf,2005,0.0
cze,m,2005,0.0
cze,f,2005,0.0
cze,mf,2006,0.0
cze,m,2006,0.0
cze,f,2006,0.0
cze,mf,2007,0.0
cze,m,2007,0.0
cze,f,2007,0.0
cze,mf,2008,0.0
cze,m,2008,0.0
cze,f,2008,0.0
cze,mf,2010,0.0
cze,m,2010,0.0
cze,f,2010,0.0
dnk,mf,1984,0.0
dnk,m,1984,0.0
dnk,f,1984,0.0
dnk,mf,1993,0.0
dnk,m,1993,0.0
dnk,f,1993,0.0
dnk,mf,1994,0.10000000149011612
dnk,m,1994,0.10000000149011612
dnk,f,1994,0.10000000149011612
dnk,mf,1999,0.0
dnk,m,1999,0.0
dnk,f,1999,0.0
dnk,mf,2000,0.0
dnk,m,2000,0.10000000149011612
dnk,f,2000,0.0
dnk,mf,2002,0.0
