country,sex,year,own_account_workers_b_000
bel,mf,2001,353.2760009765625
bel,m,2001,233.17300415039062
bel,f,2001,120.10299682617188
bel,mf,2002,387.24798583984375
bel,m,2002,255.87600708007812
bel,f,2002,131.3719940185547
bel,mf,2003,378.593994140625
bel,m,2003,249.59800720214844
bel,f,2003,128.99600219726562
bel,mf,2004,350.5199890136719
bel,m,2004,239.78700256347656
bel,f,2004,110.73400115966797
bel,mf,2005,376.01300048828125
bel,m,2005,254.86399841308594
bel,f,2005,121.14800262451172
bel,mf,2006,377.9100036621094
bel,m,2006,257.2120056152344
bel,f,2006,120.6989974975586
bel,mf,2007,395.3030090332031
bel,m,2007,263.9159851074219
bel,f,2007,131.38699340820312
bel,mf,2008,391.6839904785156
bel,m,2008,262.7349853515625
bel,f,2008,128.94900512695312
bel,mf,2009,401.02398681640625
bel,m,2009,265.7070007324219
bel,f,2009,135.31700134277344
bel,mf,2010,399.9880065917969
bel,m,2010,266.37298583984375
bel,f,2010,133.61500549316406
bel,mf,2011,408.5450134277344
bel,m,2011,270.5090026855469
bel,f,2011,138.03599548339844
bel,mf,2012,425.6650085449219
bel,m,2012,280.5769958496094
bel,f,2012,145.08799743652344
bel,mf,2013,447.197998046875
bel,m,2013,302.489990234375
bel,f,2013,144.70799255371094
bel,mf,2014,436.00299072265625
bel,m,2014,288.1059875488281
bel,f,2014,147.89700317382812
blz,mf,1993,16.360000610351562
blz,m,1993,12.28499984741211
blz,f,1993,4.074999809265137
blz,mf,1994,16.260000228881836
blz,m,1994,12.539999961853027
blz,f,1994,3.7200000286102295
blz,mf,1995,13.505000114440918
blz,m,1995,10.095000267028809
blz,f,1995,3.4100000858306885
blz,mf,1996,14.6850004196167
blz,m,1996,11.520000457763672
blz,f,1996,3.1649999618530273
blz,mf,1997,21.96500015258789
blz,m,1997,16.575000762939453
blz,f,1997,5.389999866485596
blz,mf,1998,21.375
blz,m,1998,16.045000076293945
blz,f,1998,5.329999923706055
blz,mf,1999,24.514999389648438
blz,m,1999,18.514999389648438
blz,f,1999,6.0
blz,mf,2005,19.340999603271484
blz,m,2005,13.543000221252441
blz,f,2005,5.797999858856201
ben,mf,2003,1982.501953125
ben,m,2003,917.9429931640625
ben,f,2003,1064.5589599609375
ben,mf,2010,1708.9630126953125
ben,m,2010,820.7150268554688
ben,f,2010,888.2479858398438
bmu,mf,2009,2.7279999256134033
bmu,m,2009,1.7660000324249268
bmu,f,2009,0.9620000123977661
bmu,mf,2010,2.256999969482422
bmu,m,2010,1.5
bmu,f,2010,0.7570000290870667
bmu,mf,2012,2.677999973297119
bmu,m,2012,1.784999966621399
bmu,f,2012,0.8920000195503235
btn,mf,2006,31.200000762939453
btn,m,2006,16.899999618530273
btn,f,2006,14.399999618530273
btn,mf,2009,70.28600311279297
btn,m,2009,35.224998474121094
btn,f,2009,35.05799865722656
btn,mf,2010,87.5
btn,m,2010,44.0
btn,f,2010,43.5
btn,mf,2011,135.1999969482422
btn,m,2011,60.400001525878906
btn,f,2011,74.69999694824219
btn,mf,2012,163.9459991455078
btn,m,2012,55.858001708984375
btn,f,2012,108.08799743652344
bol,mf,1989,325.19000244140625
bol,m,1989,159.1300048828125
bol,f,1989,166.05999755859375
bol,mf,1990,320.0
bol,m,1990,155.91000366210938
bol,f,1990,164.08999633789062
bol,mf,1991,328.07000732421875
bol,m,1991,153.13999938964844
bol,f,1991,174.92999267578125
bol,mf,1992,341.94000244140625
bol,m,1992,157.47999572753906
bol,f,1992,184.4600067138672
bol,mf,1993,327.7799987792969
bol,m,1993,147.74000549316406
bol,f,1993,180.0399932861328
bol,mf,1994,359.4700012207031
bol,m,1994,151.55999755859375
bol,f,1994,207.91000366210938
bol,mf,1995,377.94000244140625
bol,m,1995,161.14999389648438
bol,f,1995,216.7899932861328
bol,mf,1996,594.5800170898438
bol,m,1996,246.2899932861328
bol,f,1996,348.2900085449219
bol,mf,1997,678.3499755859375
bol,m,1997,322.79998779296875
bol,f,1997,355.5400085449219
bol,mf,1999,1463.199951171875
bol,m,1999,838.5
bol,f,1999,624.5999755859375
bol,mf,2000,1516.5
bol,m,2000,930.7000122070312
bol,f,2000,585.7999877929688
bol,mf,2001,1387.699951171875
bol,m,2001,820.9000244140625
bol,f,2001,566.7999877929688
bol,mf,2002,1399.0
bol,m,2002,837.0999755859375
bol,f,2002,561.7999877929688
bol,mf,2003,1495.6519775390625
bol,m,2003,773.7769775390625
bol,f,2003,721.875
bol,mf,2004,1495.6519775390625
bol,m,2004,773.7769775390625
bol,f,2004,721.875
bol,mf,2005,1471.9849853515625
bol,m,2005,830.6859741210938
bol,f,2005,641.2990112304688
bol,mf,2006,1565.2359619140625
bol,m,2006,943.8189697265625
bol,f,2006,621.4169921875
bol,mf,2007,1558.9000244140625
bol,m,2007,878.5999755859375
bol,f,2007,680.2999877929688
bol,mf,2008,1619.8890380859375
bol,m,2008,918.8909912109375
bol,f,2008,700.9979858398438
bol,mf,2009,1671.98095703125
bol,m,2009,961.0139770507812
bol,f,2009,710.9669799804688
bol,mf,2011,1806.6390380859375
bol,m,2011,1068.322021484375
bol,f,2011,738.3170166015625
bih,mf,2006,176.0
bih,m,2006,132.0
bih,f,2006,45.0
bih,mf,2007,192.0
bih,m,2007,141.0
bih,f,2007,52.0
bih,mf,2008,197.0
bih,m,2008,143.0
bih,f,2008,54.0
bih,mf,2009,176.0
bih,m,2009,122.0
bih,f,2009,53.0
bih,mf,2010,176.0
bih,m,2010,124.0
bih,f,2010,52.0
bih,mf,2011,163.0
bih,m,2011,117.0
bih,f,2011,46.0
bih,mf,2012,185.0
bih,m,2012,129.0
bih,f,2012,56.0
bih,mf,2013,170.0
bih,m,2013,124.0
bih,f,2013,47.0
bwa,mf,1984,142.8800048828125
bwa,m,1984,61.88999938964844
bwa,f,1984,80.98999786376953
bwa,mf,1994,104.31800079345703
bwa,m,1994,58.9900016784668
bwa,f,1994,45.327999114990234
bwa,mf,2006,175.73599243164062
bwa,m,2006,86.79499816894531
bwa,f,2006,88.94000244140625
bwa,mf,2010,41.564998626708984
bwa,m,2010,15.572999954223633
bwa,f,2010,25.992000579833984
bra,mf,1990,13747.33984375
bra,m,1990,9399.65625
bra,f,1990,4347.68603515625
bra,mf,1992,17064.490234375
bra,m,1992,10666.759765625
bra,f,1992,6397.72998046875
bra,mf,1993,17275.1796875
bra,m,1993,10777.3701171875
bra,f,1993,6497.80517578125
bra,mf,1995,18628.080078125
bra,m,1995,11608.83984375
bra,f,1995,7019.23486328125
bra,mf,1996,17902.720703125
bra,m,1996,11625.2802734375
bra,f,1996,6277.43701171875
bra,mf,2000,15396.25
bra,m,2000,11312.150390625
bra,f,2000,4084.10009765625
bra,mf,2001,20025.0
bra,m,2001,12963.0
bra,f,2001,7062.0
bra,mf,2002,20844.0
bra,m,2002,13286.0
bra,f,2002,7558.0
bra,mf,2003,21379.0
bra,m,2003,13635.0
bra,f,2003,7744.0
bra,mf,2004,22062.0
bra,m,2004,13975.0
bra,f,2004,8087.0
bra,mf,2005,18853.0
bra,m,2005,12895.0
bra,f,2005,5958.0
bra,mf,2006,18924.0
bra,m,2006,12816.0
bra,f,2006,6108.0
bra,mf,2007,19213.0
bra,m,2007,12962.0
bra,f,2007,6251.0
bra,mf,2008,18688.7890625
bra,m,2008,12476.1396484375
bra,f,2008,6212.65185546875
bra,mf,2009,18978.5
bra,m,2009,12626.3603515625
bra,f,2009,6352.14013671875
bra,mf,2011,19664.890625
bra,m,2011,13537.25
bra,f,2011,6127.634765625
bra,mf,2012,19561.439453125
bra,m,2012,13357.5703125
bra,f,2012,6203.8671875
bra,mf,2013,19924.380859375
bra,m,2013,13634.080078125
bra,f,2013,6290.2939453125
vgb,mf,1991,0.5809999704360962
vgb,m,1991,0.4269999861717224
vgb,f,1991,0.15399999916553497
brn,mf,1991,3.9019999504089355
brn,m,1991,2.934999942779541
brn,f,1991,0.9670000076293945
bgr,mf,2000,352.34100341796875
bgr,m,2000,228.72999572753906
bgr,f,2000,123.61100006103516
bgr,mf,2001,274.4949951171875
bgr,m,2001,171.302001953125
bgr,f,2001,103.19300079345703
bgr,mf,2002,281.21099853515625
bgr,m,2002,174.9709930419922
bgr,f,2002,106.23999786376953
bgr,mf,2003,294.72198486328125
bgr,m,2003,190.45599365234375
bgr,f,2003,104.26599884033203
bgr,mf,2004,292.8139953613281
bgr,m,2004,190.32899475097656
bgr,f,2004,102.48500061035156
bgr,mf,2005,257.8429870605469
bgr,m,2005,167.06100463867188
bgr,f,2005,90.78199768066406
bgr,mf,2006,246.0850067138672
bgr,m,2006,158.4759979248047
bgr,f,2006,87.61000061035156
bgr,mf,2007,234.02000427246094
bgr,m,2007,151.802001953125
bgr,f,2007,82.21700286865234
bgr,mf,2008,259.9070129394531
bgr,m,2008,165.28199768066406
bgr,f,2008,94.6240005493164
bgr,mf,2009,259.3590087890625
bgr,m,2009,164.80099487304688
bgr,f,2009,94.55799865722656
bgr,mf,2010,242.75
bgr,m,2010,148.6540069580078
bgr,f,2010,94.09600067138672
bgr,mf,2011,221.26400756835938
bgr,m,2011,139.68699645996094
bgr,f,2011,81.5780029296875
bgr,mf,2012,210.90199279785156
bgr,m,2012,134.95399475097656
bgr,f,2012,75.947998046875
bgr,mf,2013,221.63900756835938
bgr,m,2013,140.10699462890625
bgr,f,2013,81.53199768066406
bgr,mf,2014,238.07200622558594
bgr,m,2014,152.38400268554688
bgr,f,2014,85.68800354003906
bfa,mf,1985,1216.79296875
