country,sex,year,employers_percentage
bfa,mf,1994,0.30000001192092896
bfa,m,1994,0.5
bfa,f,1994,0.0
bfa,mf,2006,0.800000011920929
bfa,m,2006,1.100000023841858
bfa,f,2006,0.4000000059604645
bdi,mf,2004,0.10000000149011612
bdi,mf,2005,0.10000000149011612
bdi,mf,2006,0.10000000149011612
bdi,mf,2007,0.10000000149011612
bdi,mf,2008,0.20000000298023224
bdi,m,2008,0.30000001192092896
bdi,f,2008,0.10000000149011612
bdi,mf,2009,0.20000000298023224
bdi,mf,2010,0.20000000298023224
khm,mf,2000,0.20000000298023224
khm,m,2000,0.30000001192092896
khm,f,2000,0.0
khm,mf,2001,0.10000000149011612
khm,m,2001,0.20000000298023224
khm,f,2001,0.10000000149011612
khm,mf,2004,0.20000000298023224
khm,mf,2008,0.10000000149011612
khm,m,2008,0.20000000298023224
khm,f,2008,0.10000000149011612
khm,mf,2009,0.30000001192092896
khm,m,2009,0.30000001192092896
khm,f,2009,0.30000001192092896
khm,mf,2010,0.20000000298023224
khm,m,2010,0.20000000298023224
khm,f,2010,0.20000000298023224
khm,mf,2011,0.0
khm,m,2011,0.0
khm,f,2011,0.0
khm,mf,2012,0.0
khm,m,2012,0.0
khm,f,2012,0.0
cmr,mf,1996,3.5
cmr,m,1996,5.300000190734863
cmr,f,1996,1.600000023841858
cmr,mf,2001,1.600000023841858
cmr,m,2001,2.0999999046325684
cmr,f,2001,1.100000023841858
cmr,mf,2005,4.199999809265137
cmr,mf,2010,3.299999952316284
cmr,m,2010,4.800000190734863
cmr,f,2010,1.600000023841858
cpv,mf,2000,2.5
cpv,m,2000,3.299999952316284
cpv,f,2000,1.600000023841858
cym,mf,2007,3.700000047683716
cym,m,2007,4.800000190734863
cym,f,2007,2.5999999046325684
cym,mf,2008,5.199999809265137
cym,m,2008,7.599999904632568
cym,f,2008,2.700000047683716
cym,mf,2011,4.099999904632568
cym,m,2011,5.599999904632568
cym,f,2011,2.5
cym,mf,2012,4.300000190734863
cym,m,2012,6.5
cym,f,2012,2.200000047683716
cym,mf,2013,4.699999809265137
cym,m,2013,7.0
cym,f,2013,2.5
tcd,mf,1993,0.20000000298023224
tcd,m,1993,0.30000001192092896
tcd,f,1993,0.10000000149011612
chl,mf,1990,2.5
chl,m,1990,3.0999999046325684
chl,f,1990,1.399999976158142
chl,mf,1991,3.799999952316284
chl,mf,1992,3.5
chl,m,1992,4.199999809265137
chl,f,1992,2.200000047683716
chl,mf,1993,3.4000000953674316
chl,mf,1994,3.200000047683716
chl,m,1994,3.700000047683716
chl,f,1994,2.299999952316284
chl,mf,1995,3.200000047683716
col,mf,1992,3.9000000953674316
col,m,1992,5.300000190734863
col,f,1992,2.0
col,mf,1993,3.799999952316284
col,m,1993,5.099999904632568
col,f,1993,2.0
col,mf,1994,4.800000190734863
col,m,1994,6.199999809265137
col,f,1994,2.799999952316284
col,mf,1995,4.199999809265137
col,m,1995,5.5
col,f,1995,2.5
col,mf,1996,4.5
col,m,1996,5.699999809265137
col,f,1996,2.799999952316284
