country,sex,year,wage_salaried_workers_employees_percentage
ben,f,2010,4.0
bmu,mf,2009,86.69999694824219
bmu,m,2009,81.80000305175781
bmu,f,2009,91.5
bmu,mf,2010,86.5999984741211
bmu,m,2010,82.69999694824219
bmu,f,2010,90.5
bmu,mf,2012,82.4000015258789
bmu,m,2012,78.19999694824219
bmu,f,2012,86.69999694824219
btn,mf,2006,32.20000076293945
btn,m,2006,40.900001525878906
btn,f,2006,21.100000381469727
btn,mf,2009,25.5
btn,m,2009,36.0
btn,f,2009,14.300000190734863
btn,mf,2010,31.100000381469727
btn,m,2010,38.5
btn,f,2010,23.100000381469727
btn,mf,2011,28.899999618530273
btn,m,2011,39.900001525878906
btn,f,2011,16.700000762939453
btn,mf,2012,27.5
btn,m,2012,41.20000076293945
btn,f,2012,14.300000190734863
bol,mf,1989,54.0
bol,m,1989,60.29999923706055
bol,f,1989,45.29999923706055
bol,mf,1990,56.900001525878906
bol,m,1990,62.70000076293945
bol,f,1990,48.400001525878906
bol,mf,1991,56.5
bol,m,1991,63.400001525878906
bol,f,1991,46.79999923706055
bol,mf,1992,55.400001525878906
bol,m,1992,62.400001525878906
bol,f,1992,45.5
bol,mf,1993,56.20000076293945
bol,m,1993,63.0
bol,f,1993,47.29999923706055
bol,mf,1994,54.20000076293945
bol,m,1994,62.20000076293945
bol,f,1994,43.79999923706055
bol,mf,1995,51.599998474121094
bol,m,1995,59.0
bol,f,1995,42.0
bol,mf,1996,49.400001525878906
bol,m,1996,57.29999923706055
bol,f,1996,39.900001525878906
bol,mf,1997,47.099998474121094
bol,m,1997,53.099998474121094
bol,f,1997,39.099998474121094
bol,mf,1999,28.899999618530273
bol,m,1999,37.0
bol,f,1999,19.0
bol,mf,2000,29.0
bol,m,2000,36.099998474121094
bol,f,2000,20.0
bol,mf,2001,29.5
bol,m,2001,37.70000076293945
bol,f,2001,19.5
bol,mf,2002,29.200000762939453
bol,m,2002,36.20000076293945
bol,f,2002,20.200000762939453
bol,mf,2003,36.0
bol,m,2003,44.0
bol,f,2003,26.399999618530273
bol,mf,2004,36.0
bol,m,2004,44.0
bol,f,2004,26.399999618530273
bol,mf,2005,34.79999923706055
bol,m,2005,41.400001525878906
bol,f,2005,26.600000381469727
bol,mf,2006,34.599998474121094
bol,m,2006,39.20000076293945
bol,f,2006,28.899999618530273
bol,mf,2007,34.0
bol,m,2007,43.099998474121094
bol,f,2007,22.700000762939453
bol,mf,2008,37.099998474121094
bol,m,2008,42.5
bol,f,2008,30.600000381469727
bol,mf,2009,40.20000076293945
bol,m,2009,46.20000076293945
bol,f,2009,32.900001525878906
bol,mf,2011,39.5
bol,m,2011,44.70000076293945
bol,f,2011,32.900001525878906
bih,mf,2006,72.5
bih,m,2006,72.19999694824219
bih,f,2006,73.0999984741211
bih,mf,2007,72.9000015258789
bih,m,2007,72.69999694824219
bih,f,2007,73.5999984741211
bih,mf,2008,72.5
bih,m,2008,72.5999984741211
bih,f,2008,72.5999984741211
bih,mf,2009,72.80000305175781
bih,m,2009,74.0999984741211
bih,f,2009,70.4000015258789
bih,mf,2010,73.5
bih,m,2010,74.4000015258789
bih,f,2010,72.0
bih,mf,2011,74.80000305175781
bih,m,2011,75.0
bih,f,2011,74.30000305175781
bih,mf,2012,72.5999984741211
bih,m,2012,72.80000305175781
bih,f,2012,72.30000305175781
bih,mf,2013,74.5999984741211
bih,m,2013,73.80000305175781
bih,f,2013,75.9000015258789
bwa,mf,1984,45.900001525878906
bwa,m,1984,54.0
bwa,f,1984,37.29999923706055
bwa,mf,1994,66.19999694824219
bwa,m,1994,67.19999694824219
bwa,f,1994,64.9000015258789
bwa,mf,2006,60.5
bwa,m,2006,62.20000076293945
bwa,f,2006,58.599998474121094
bwa,mf,2010,68.19999694824219
bwa,m,2010,70.5999984741211
bwa,f,2010,65.19999694824219
bra,mf,1990,65.80000305175781
bra,m,1990,64.69999694824219
bra,f,1990,68.0
bra,mf,1992,60.599998474121094
bra,m,1992,60.900001525878906
bra,f,1992,60.0
bra,mf,1993,60.79999923706055
bra,m,1993,61.099998474121094
bra,f,1993,60.400001525878906
bra,mf,1995,60.099998474121094
bra,m,1995,60.0
bra,f,1995,60.20000076293945
bra,mf,1996,61.599998474121094
bra,m,1996,60.5
bra,f,1996,63.29999923706055
bra,mf,2000,66.5999984741211
bra,m,2000,62.400001525878906
bra,f,2000,73.5
bra,mf,2001,62.099998474121094
bra,m,2001,60.099998474121094
bra,f,2001,64.9000015258789
bra,mf,2002,62.0
bra,m,2002,60.29999923706055
bra,f,2002,64.4000015258789
bra,mf,2003,62.099998474121094
bra,m,2003,60.099998474121094
bra,f,2003,64.80000305175781
bra,mf,2004,62.900001525878906
bra,m,2004,60.900001525878906
bra,f,2004,65.5
bra,mf,2005,62.70000076293945
bra,m,2005,61.29999923706055
bra,f,2005,64.80000305175781
bra,mf,2006,63.599998474121094
bra,m,2006,61.900001525878906
bra,f,2006,66.0
bra,mf,2007,64.80000305175781
bra,m,2007,63.0
bra,f,2007,67.19999694824219
bra,mf,2008,65.80000305175781
bra,m,2008,64.19999694824219
bra,f,2008,68.0999984741211
bra,mf,2009,66.4000015258789
bra,m,2009,64.30000305175781
bra,f,2009,69.19999694824219
bra,mf,2011,68.0
bra,m,2011,65.0
bra,f,2011,72.19999694824219
bra,mf,2012,68.5999984741211
